"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","prcp_avg_phen_gen_1","prcp_avg_phen_gen_3","prcp_avg_phen_gen_2","prcp_avg_phen_cab_1","prcp_avg_phen_cab_3","prcp_avg_phen_cab_2","prcp_avg_phen_chard_1","prcp_avg_phen_chard_3","prcp_avg_phen_chard_2","prcp_avg_phen_mer_1","prcp_avg_phen_mer_3","prcp_avg_phen_mer_2","gdd_avg_phen_gen_1","gdd_avg_phen_gen_3","gdd_avg_phen_gen_2","gdd_avg_phen_cab_1","gdd_avg_phen_cab_3","gdd_avg_phen_cab_2","gdd_avg_phen_chard_1","gdd_avg_phen_chard_3","gdd_avg_phen_chard_2","gdd_avg_phen_mer_1","gdd_avg_phen_mer_3","gdd_avg_phen_mer_2","Descriptions_WS_WA","Notes"
1990,"North Coast","Zinfandel",NA,NA,91,91,7.25,0,41.6,7.25,7.2,41.6,7.25,0,41.6,7.25,0,41.6,246.35,589.125,624.975,275.85,686.925,614.825,286.725,758.7,486.425,252.525,633.275,587.75,"C",NA
1991,"North Coast","Zinfandel",NA,NA,91,91,11.05,3.2,13.25,48.25,3.2,13.25,152.75,3.2,14.55,32.4,3.2,13.25,176.225,564.125,610.45,192.7,658.775,599.75,139.825,693.725,534,177.9,599.4,580.725,"C",NA
1992,"North Coast","Zinfandel",NA,NA,90,90,20.85,0,29.475,22.825,0,29.475,60.1875,0,29.475,21.5,0,29.475,331.675,404.45,699.1625,362.025,492.325,687.2125,297.125,560.975,630.5875,339.575,448.45,661.1625,"C",NA
1993,"North Coast","Zinfandel",NA,NA,90,90,48.45,0,61.75,63.1375,0,61.75,116.5875,0,61.75,53.9,0,61.75,233.60625,607.575,716.3375,248.70625,683.1,700.9125,219.00625,753.3375,637.775,235.08125,651.175,679.6625,"C",NA
1994,"North Coast","Zinfandel",NA,NA,92,92,73.25,0,10.65,78.2875,0,10.65,53.8125,0,39.4,75.25,0,10.8,245.9625,584.875,637.025,270.7875,679.9,626.625,211.7875,704.775,586.8,251.6125,619.85,608.725,"C",NA
1994,"North Coast","Cabernet ",NA,NA,95,95,73.25,0,10.65,78.2875,0,10.65,53.8125,0,39.4,75.25,0,10.8,245.9625,584.875,637.025,270.7875,679.9,626.625,211.7875,704.775,586.8,251.6125,619.85,608.725,"E",NA
1995,"North Coast","Zinfandel",NA,NA,87,87,91.3,0,35.75,91.3,0,35.75,174.5,0,54.55,90.25,0,36.8,190.575,646.45,676.025,209.2,745.65,666.025,189.25,806.075,553.025,196.675,690.925,635.175,"C",NA
1995,"North Coast","Cabernet ",NA,NA,94,94,91.3,0,35.75,91.3,0,35.75,174.5,0,54.55,90.25,0,36.8,190.575,646.45,676.025,209.2,745.65,666.025,189.25,806.075,553.025,196.675,690.925,635.175,"T",NA
1996,"North Coast","Zinfandel",NA,NA,89,89,100.5,0.4,85.25,101,0.4,85.25,87.4,0.4,98.85,86.9,0.4,98.85,281.075,636.2125,698.875,291.3,728.4125,686.375,250.65,793.0875,624.625,276.05,681.1125,664.4,"C",NA
1996,"North Coast","Cabernet ",NA,NA,90,90,100.5,0.4,85.25,101,0.4,85.25,87.4,0.4,98.85,86.9,0.4,98.85,281.075,636.2125,698.875,291.3,728.4125,686.375,250.65,793.0875,624.625,276.05,681.1125,664.4,"T",NA
