"Vintage","prcp_avg","gdd_avg","Location","Variety","R1_WS","R2_WE","Notes"
1991,4012.3,1466.74166666667,"Napa","Cabernet",91,NA,NA
1992,7115.63333333333,1609.525,"Napa","Cabernet",93,NA,NA
1993,17556.1,1605.76166666667,"Napa","Cabernet",88,NA,NA
1994,12810.7333333333,1566.09166666667,"Napa","Cabernet",97,NA,NA
1995,21169.8,1571.11666666667,"Napa","Cabernet",97,NA,NA
1996,31167.6666666667,1722.275,"Napa","Cabernet",96,NA,NA
1997,6868.8,1790.55833333333,"Napa","Cabernet",99,NA,NA
1998,24570.6333333333,1392.69166666667,"Napa","Cabernet",84,NA,NA
1999,14063.9666666667,1486.45,"Napa","Cabernet",97,NA,NA
2000,15106.2333333333,1681.2,"Napa","Cabernet",85,NA,NA
2001,4840.83333333333,1709.13333333333,"Napa","Cabernet",93,NA,NA
2002,5730.4,1632.995,"Napa","Cabernet",93,NA,NA
2003,30809.4666666667,1657.375,"Napa","Cabernet",85,NA,NA
2004,1791.63333333333,1677.61666666667,"Napa","Cabernet",95,NA,NA
2005,25317.0333333333,1566.14166666667,"Napa","Cabernet",92,NA,NA
2006,28976.3333333333,1599.43666666667,"Napa","Cabernet",95,NA,NA
2007,7961.73333333333,1678.3,"Napa","Cabernet",97,NA,NA
2008,1433.33333333333,1730.05333333333,"Napa","Cabernet",96,NA,NA
2009,12016.7666666667,1550.79166666667,"Napa","Cabernet",96,NA,NA
2010,28522.7,1431.875,"Napa","Cabernet",96,NA,NA
2011,17773.9666666667,1483.23333333333,"Napa","Cabernet",86,NA,NA
2012,13221.8333333333,1600.3,"Napa","Cabernet",96,NA,NA
2013,8049.73333333333,1742.4,"Napa","Cabernet",97,NA,NA
2014,9395.43333333333,1786.81666666667,"Napa","Cabernet",95,NA,NA
2015,7975.86666666667,1750.05,"Napa","Cabernet",94,NA,NA
2016,6938.2,1712.55,"Napa","Cabernet",98,NA,NA
2017,15189.6666666667,1823.93333333333,"Napa","Cabernet",90.5,NA,"WS_Napa, 89-92 (value is mean)"
1996,31167.6666666667,1722.275,"Napa","Chardonnay",95,NA,NA
1997,6868.8,1790.55833333333,"Napa","Chardonnay",96,NA,NA
1998,24570.6333333333,1392.69166666667,"Napa","Chardonnay",84,NA,NA
1999,14063.9666666667,1486.45,"Napa","Chardonnay",87,NA,NA
2000,15106.2333333333,1681.2,"Napa","Chardonnay",87,NA,NA
