"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","year","month","day"
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-01",0.3,11.7,17.8,5.6,1982,3,1
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-02",4.6,8.35,15.6,1.1,1982,3,2
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-03",4.3,7.2,11.1,3.3,1982,3,3
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-04",5.3,6.35,9.4,3.3,1982,3,4
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-05",1,5,8.3,1.7,1982,3,5
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-06",0,5,10,0,1982,3,6
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-07",0,5,12.2,-2.2,1982,3,7
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-08",0,5.85,13.9,-2.2,1982,3,8
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-09",3.3,6.4,11.7,1.1,1982,3,9
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-10",0,11.15,15.6,6.7,1982,3,10
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-11",2.8,10.3,16.7,3.9,1982,3,11
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-12",1.3,3.3,7.2,-0.6,1982,3,12
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-13",0,5.8,9.4,2.2,1982,3,13
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-14",0.5,8.05,12.2,3.9,1982,3,14
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-15",14,4.7,9.4,0,1982,3,15
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-16",0,1.95,5.6,-1.7,1982,3,16
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-17",0,4.45,10.6,-1.7,1982,3,17
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-18",0,5.55,10,1.1,1982,3,18
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-19",6.4,0.55,2.2,-1.1,1982,3,19
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-20",0.5,3.35,6.1,0.6,1982,3,20
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-21",0,4.15,9.4,-1.1,1982,3,21
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-22",0,6.1,12.2,0,1982,3,22
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-23",0,6.95,13.9,0,1982,3,23
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-24",0,8.9,17.8,0,1982,3,24
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-25",0,7.5,15.6,-0.6,1982,3,25
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-26",0,10,18.3,1.7,1982,3,26
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-27",3.3,8.6,14.4,2.8,1982,3,27
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-28",0.3,7.8,13.9,1.7,1982,3,28
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-29",3,5.25,11.1,-0.6,1982,3,29
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-30",0,3.9,8.9,-1.1,1982,3,30
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-03-31",3.3,5.3,10.6,0,1982,3,31
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-01",10.2,3.3,9.4,-2.8,1982,4,1
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-02",2.3,6.15,10.6,1.7,1982,4,2
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-03",3.8,4.45,8.9,0,1982,4,3
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-04",0,5.85,10,1.7,1982,4,4
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-05",0,5.3,10.6,0,1982,4,5
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-06",5.6,7.2,13.3,1.1,1982,4,6
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-07",0,2.5,5.6,-0.6,1982,4,7
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-08",3,3.05,8.3,-2.2,1982,4,8
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-09",0,4.45,11.1,-2.2,1982,4,9
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-10",0,6.9,14.4,-0.6,1982,4,10
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-11",16.8,11.1,18.9,3.3,1982,4,11
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-12",13.2,13.9,21.1,6.7,1982,4,12
"USC00452030","DAYTON 1 WSW, WA US",46.3152,-118.0022,474.6,"1982-04-13",4.3,10.55,13.9,7.2,1982,4,13
